Last Reported,Status,Type,ID,Dups,Name,vCenter,Datacenter,Cluster,Host,Tag Count,Server Type,Server Status,Server Environment,OS Type,Engagement Manager,Data Center,Clients - A to I,Client Size Class,Application Stack,Application Environment,QAD Support Environmets,Clients - J to Q,Clients - R to Z,DMZ Server,Zerto Protection,Zerto Destination,Clustered Servers
2018/01/10 21:14,1,Native OS,309825.0,No,QVARSEQNTS01,-,-,-,-,10,VMware Virtual Server,Active,Production,Windows,Denise Myers,Arapahoe - ViaWest,-,Class C,QRF,Client,-,-,Sequent Medical Inc. - 00061961,-,-,-,-
2018/01/10 21:30,1,Native OS,309757.0,No,qsaildb1,-,-,-,-,10,VMware Virtual Server,Active,Production,Linux,Marcela Arguello,Arapahoe - ViaWest,-,Class B,MFG,Client,-,-,Sauermann Industrie SA - 00061574,-,-,-,-
2018/01/10 21:30,1,Native OS,309649.0,No,qvarscoldb01,-,-,-,-,12,VMware Virtual Server,Active,Production,Linux,Rick Johnson,Arapahoe - ViaWest,-,Class B,MFG,Client,-,-,Scosche Industries Inc. - 00037749,-,Yes,Delong,-
2018/01/10 21:30,1,Native OS,309544.0,No,qsaildb2,-,-,-,-,11,VMware Virtual Server,Active,Development||Test,Linux,Marcela Arguello,Arapahoe - ViaWest,-,Class B,MFG,Client,-,-,Sauermann Industrie SA - 00061574,-,-,-,-
2018/01/10 21:30,1,Native OS,309427.0,No,qvarscoldb03,-,-,-,-,10,VMware Virtual Server,Active,Development,Linux,Rick Johnson,Arapahoe - ViaWest,-,Class B,MFG,Client,-,-,Scosche Industries Inc. - 00037749,-,-,-,-
2018/01/10 21:30,1,Native OS,309348.0,No,qvarscoldb02,-,-,-,-,10,VMware Virtual Server,Active,Test,Linux,Rick Johnson,Arapahoe - ViaWest,-,Class B,MFG,Client,-,-,Scosche Industries Inc. - 00037749,-,-,-,-
2018/01/10 21:17,1,Native OS,309297.0,No,QVARSCONBI01,-,-,-,-,12,VMware Virtual Server,Active,Production,Windows,Rick Johnson,Arapahoe - ViaWest,-,Class B,BI,Client,-,-,Scosche Industries Inc. - 00037749,-,Yes,Delong,-
2018/01/10 21:32,1,Native OS,309287.0,No,QSAINTS1,-,-,-,-,12,VMware Virtual Server,Active,Production||Development||Test,Windows,Marcela Arguello,Arapahoe - ViaWest,-,Class B,CRM,Client,-,-,Sauermann Industrie SA - 00061574,-,-,-,-
2018/01/10 21:30,1,Native OS,309195.0,No,qvarscildb03,-,-,-,-,10,VMware Virtual Server,Active,Development,Linux,Denise Myers,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,"Sancilio & Company, Inc. - 00064806",-,-,-,-
2018/01/10 21:30,1,Native OS,309057.0,No,qvarscildb01,-,-,-,-,12,VMware Virtual Server,Active,Production,Linux,Denise Myers,Arapahoe - ViaWest,-,Class C,MFG,Client,-,-,"Sancilio & Company, Inc. - 00064806",-,Yes,Delong,-
