DATE_TIME,STGPOOL_NAME,NODE_NAME,FILESPACE_NAME,FILESPACE_ID,TYPE,PROTECTED_MB,PHYSICAL_MB,TOTAL_SAVED_MB,TOTAL_SAVED_PCT,DEDUP_SAVED_SIZE,DEDUP_PCT,NON_DEDUP_COUNT,NON_DEDUP_SIZE,UNIQUE_COUNT,UNIQUE_SIZE,SHARED_COUNT,SHARED_LOGSIZE,SHARED_PHYSIZE,COMP_SAVED_SIZE,COMP_SAVED_PCT,COMP_COUNT,UNCOMP_COUNT,ENCRYPT_SIZE,ENCRYPT_PCT,ENCRYPT_COUNT,UNENCRYPT_COUNT,REPORT_ID,DESC
2020-04-20 08:10:41.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV501,34,Bkup,240,53,187,77.75,108772778,43.22,2,852,875,50838567,788,118575259,5160488,86886407,60.81,1575,90,0,0.00,0,1665,169,""
2020-04-18 11:43:16.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV501,34,Bkup,240,53,187,77.75,108772778,43.22,2,852,875,50838567,788,118575259,5160488,86886407,60.81,1575,90,0,0.00,0,1665,167,""
2020-03-10 22:35:23.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV501,34,Bkup,240,53,187,77.76,108798534,43.23,2,852,875,50838567,788,118575259,5133485,86887654,60.82,1575,90,0,0.00,0,1665,166,""
2020-03-09 11:28:47.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV501,34,Bkup,240,53,187,77.76,108795218,43.23,2,852,875,50838567,788,118575259,5136252,86888203,60.82,1575,90,0,0.00,0,1665,165,""
2020-02-25 13:26:54.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV501,34,Bkup,240,54,186,77.54,107733435,42.81,2,852,878,51340294,785,117464949,5170929,87413582,60.74,1575,90,0,0.00,0,1665,164,""
2020-04-21 06:07:26.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV010,35,Bkup,227503,31374,196129,86.21,94257228104,39.51,6801,2897190,852407,29752607861,743661,100397539113,3142948433,111398760656,77.20,1525288,77581,0,0.00,0,1602869,171,""
2020-04-20 08:10:41.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV010,35,Bkup,227503,31374,196129,86.21,94257246086,39.51,6801,2897190,852407,29752607861,743661,100397539113,3142931735,111398759372,77.20,1525288,77581,0,0.00,0,1602869,169,""
2020-04-18 11:43:16.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV010,35,Bkup,227503,31375,196129,86.21,94257032114,39.51,6801,2897190,852407,29752607861,743661,100397539113,3143083958,111398821121,77.20,1525288,77581,0,0.00,0,1602869,167,""
2020-03-10 22:35:23.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV010,35,Bkup,220047,29773,190273,86.47,94002664745,40.74,6159,2623626,772316,28159254864,735405,99999049664,3057814421,105513197632,77.17,1436695,77185,0,0.00,0,1513880,166,""
2020-03-09 11:28:47.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV010,35,Bkup,215160,29238,185923,86.41,91279771752,40.46,3363,1432602,756939,27740936303,714953,96796422401,2915592910,103674242809,77.18,1402058,73197,0,0.00,0,1475255,165,""
2020-04-21 06:07:26.000000,STG001,SPVENP_CORP100_DC,\VMFULL-CORPWMAXDV005,36,Bkup,229519,29175,200344,87.29,126316448382,52.49,5841,2488230,856940,25503825003,794620,141926644479,5085468623,83759929093,73.25,1573130,84271,0,0.00,0,1657401,171,""
